"","gene","count","group","pvalue"
"1","LCR_E67",85,"Observed",0.102822572415902
"2","LCR_E67",106.39979757085,"Expected",0.102822572415902
"3","E1",128,"Observed",0.999999999999998
"4","E1",128.963436234818,"Expected",0.999999999999998
"5","E2",76,"Observed",0.835401625691497
"6","E2",72.6535931174089,"Expected",0.835401625691497
"7","E4",23,"Observed",0.643173116124934
"8","E4",19.0566801619433,"Expected",0.643173116124934
"9","E5",21,"Observed",0.467977108212056
"10","E5",15.6820597165992,"Expected",0.467977108212056
"11","L2",110,"Observed",0.24477574805093
"12","L2",94.0923582995951,"Expected",0.24477574805093
"13","L1",104,"Observed",0.962679493411379
"14","L1",105.605769230769,"Expected",0.962679493411379
